chart_4_series-alias,Type-alias,Type-[federated.0mwhe0y1pr7czz1dk80sw1mc2kwj].[none:type:nk]-alias,SUM(Pivot Field Values (currency format))-alias,SUM(Pivot Field Values)-value,SUM(Pivot Field Values)-alias,MONTH(Service Month)-value,MONTH(Service Month)-alias,MONTH(Service Month)-[federated.0mwhe0y1pr7czz1dk80sw1mc2kwj].[tmn:ServiceMonth:qk]-value,MONTH(Service Month)-[federated.0mwhe0y1pr7czz1dk80sw1mc2kwj].[tmn:ServiceMonth:qk]-alias,ATTR(chart_4_tooltip_variable_text2)-alias,ATTR(rolling_tooltip_text)-alias,ATTR(chart_4_tooltip_variable_text)-alias,ATTR(rolling 3 months average text)-alias,ATTR(rolling 3 months average text)-[federated.0mwhe0y1pr7czz1dk80sw1mc2kwj].[attr:Calculation_892838648462733318:nk]-alias,ATTR(Description)-alias,ATTR(Description)-[federated.0mwhe0y1pr7czz1dk80sw1mc2kwj].[attr:Description:nk]-alias,ATTR(Series tooltip)-alias,ATTR(Series tooltip)-[federated.0mwhe0y1pr7czz1dk80sw1mc2kwj].[attr:Series (copy)_147492889927708672:nk]-alias,ATTR(State1)-alias,ATTR(State1)-[federated.0mwhe0y1pr7czz1dk80sw1mc2kwj].[attr:State:nk]-alias,Series-alias,Series (label)-alias,SUM(policy_event_ind)-alias
Total benefit,Total,0,187117518.35,187117518.35,187117518.35,2004-12-01 00:00:00,December 2004,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,213097338.65,213097338.65,213097338.65,2005-01-01 00:00:00,January 2005,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,"On 1 January 2005, rebates for non-hospital GP attendances increased to 100% of Schedule fee (not appliable to bulk billing incentive items). Also introduced was item 10992, which provided another incentive for the bulk billing of children under 16 and concessional patients receiving after-hours attendances provided in the areas defined under item 10991, in the specific case of the GP not being based in the eligible area, and therefore unable to claim item 10991.",0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,234737400.3,234737400.3,234737400.3,2005-02-01 00:00:00,February 2005,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,261623545.5,261623545.5,261623545.5,2005-03-01 00:00:00,March 2005,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,255712327.45,255712327.45,255712327.45,2005-04-01 00:00:00,April 2005,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,276515096.05,276515096.05,276515096.05,2005-05-01 00:00:00,May 2005,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,262062869.1,262062869.1,262062869.1,2005-06-01 00:00:00,June 2005,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,260732890.3,260732890.3,260732890.3,2005-07-01 00:00:00,July 2005,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,293910006.85,293910006.85,293910006.85,2005-08-01 00:00:00,August 2005,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,267614531.1,267614531.1,267614531.1,2005-09-01 00:00:00,September 2005,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,262683831.4,262683831.4,262683831.4,2005-10-01 00:00:00,October 2005,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,276665812.9,276665812.9,276665812.9,2005-11-01 00:00:00,November 2005,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,238524724.05,238524724.05,238524724.05,2005-12-01 00:00:00,December 2005,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,240025892.85,240025892.85,240025892.85,2006-01-01 00:00:00,January 2006,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,257934538.7,257934538.7,257934538.7,2006-02-01 00:00:00,February 2006,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,305053133.35,305053133.35,305053133.35,2006-03-01 00:00:00,March 2006,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,247165678.95,247165678.95,247165678.95,2006-04-01 00:00:00,April 2006,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,304274298.7,304274298.7,304274298.7,2006-05-01 00:00:00,May 2006,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,277494383.5,277494383.5,277494383.5,2006-06-01 00:00:00,June 2006,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,281438901.9,281438901.9,281438901.9,2006-07-01 00:00:00,July 2006,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,315862929.95,315862929.95,315862929.95,2006-08-01 00:00:00,August 2006,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,282460445,282460445,282460445,2006-09-01 00:00:00,September 2006,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,284677692.65,284677692.65,284677692.65,2006-10-01 00:00:00,October 2006,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,301448430.5,301448430.5,301448430.5,2006-11-01 00:00:00,November 2006,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,251260643.45,251260643.45,251260643.45,2006-12-01 00:00:00,December 2006,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,270572659,270572659,270572659,2007-01-01 00:00:00,January 2007,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,280209822.1,280209822.1,280209822.1,2007-02-01 00:00:00,February 2007,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,327630097.1,327630097.1,327630097.1,2007-03-01 00:00:00,March 2007,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,277896197.65,277896197.65,277896197.65,2007-04-01 00:00:00,April 2007,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,336089262.05,336089262.05,336089262.05,2007-05-01 00:00:00,May 2007,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,298431804.15,298431804.15,298431804.15,2007-06-01 00:00:00,June 2007,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,326996330.5,326996330.5,326996330.5,2007-07-01 00:00:00,July 2007,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,354775445.4,354775445.4,354775445.4,2007-08-01 00:00:00,August 2007,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,304966608.15,304966608.15,304966608.15,2007-09-01 00:00:00,September 2007,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,328786715.35,328786715.35,328786715.35,2007-10-01 00:00:00,October 2007,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,330722213.65,330722213.65,330722213.65,2007-11-01 00:00:00,November 2007,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,270972786.6,270972786.6,270972786.6,2007-12-01 00:00:00,December 2007,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,298636319.5,298636319.5,298636319.5,2008-01-01 00:00:00,January 2008,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,327845246.4,327845246.4,327845246.4,2008-02-01 00:00:00,February 2008,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,324724846.55,324724846.55,324724846.55,2008-03-01 00:00:00,March 2008,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,342361147.9,342361147.9,342361147.9,2008-04-01 00:00:00,April 2008,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,346414882.1,346414882.1,346414882.1,2008-05-01 00:00:00,May 2008,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,319688014.95,319688014.95,319688014.95,2008-06-01 00:00:00,June 2008,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,345011549.4,345011549.4,345011549.4,2008-07-01 00:00:00,July 2008,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,348166192.2,348166192.2,348166192.2,2008-08-01 00:00:00,August 2008,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,345813057.55,345813057.55,345813057.55,2008-09-01 00:00:00,September 2008,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,345509092,345509092,345509092,2008-10-01 00:00:00,October 2008,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,325875744.75,325875744.75,325875744.75,2008-11-01 00:00:00,November 2008,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,309153453.7,309153453.7,309153453.7,2008-12-01 00:00:00,December 2008,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,299185232.3,299185232.3,299185232.3,2009-01-01 00:00:00,January 2009,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,327917636.25,327917636.25,327917636.25,2009-02-01 00:00:00,February 2009,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,380476625.1,380476625.1,380476625.1,2009-03-01 00:00:00,March 2009,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,340264212,340264212,340264212,2009-04-01 00:00:00,April 2009,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,363522703.7,363522703.7,363522703.7,2009-05-01 00:00:00,May 2009,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,370237940.95,370237940.95,370237940.95,2009-06-01 00:00:00,June 2009,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,376754726.45,376754726.45,376754726.45,2009-07-01 00:00:00,July 2009,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,361440365.95,361440365.95,361440365.95,2009-08-01 00:00:00,August 2009,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,356500167.5,356500167.5,356500167.5,2009-09-01 00:00:00,September 2009,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,370783300.05,370783300.05,370783300.05,2009-10-01 00:00:00,October 2009,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,364088174.9,364088174.9,364088174.9,2009-11-01 00:00:00,November 2009,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,325827877.8,325827877.8,325827877.8,2009-12-01 00:00:00,December 2009,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,310610450.4,310610450.4,310610450.4,2010-01-01 00:00:00,January 2010,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,354075444.55,354075444.55,354075444.55,2010-02-01 00:00:00,February 2010,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,412190708.3,412190708.3,412190708.3,2010-03-01 00:00:00,March 2010,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,352990068.5,352990068.5,352990068.5,2010-04-01 00:00:00,April 2010,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,382497761.45,382497761.45,382497761.45,2010-05-01 00:00:00,May 2010,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,376402272.7,376402272.7,376402272.7,2010-06-01 00:00:00,June 2010,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,378489758.15,378489758.15,378489758.15,2010-07-01 00:00:00,July 2010,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,402841419.7,402841419.7,402841419.7,2010-08-01 00:00:00,August 2010,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,390738511,390738511,390738511,2010-09-01 00:00:00,September 2010,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,377487142.6,377487142.6,377487142.6,2010-10-01 00:00:00,October 2010,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,403464206.1,403464206.1,403464206.1,2010-11-01 00:00:00,November 2010,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,344968653.25,344968653.25,344968653.25,2010-12-01 00:00:00,December 2010,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,337947903.2,337947903.2,337947903.2,2011-01-01 00:00:00,January 2011,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,377982447.55,377982447.55,377982447.55,2011-02-01 00:00:00,February 2011,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,444965909.2,444965909.2,444965909.2,2011-03-01 00:00:00,March 2011,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,363310970.3,363310970.3,363310970.3,2011-04-01 00:00:00,April 2011,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,430510516.8,430510516.8,430510516.8,2011-05-01 00:00:00,May 2011,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,412289738.15,412289738.15,412289738.15,2011-06-01 00:00:00,June 2011,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,398098734.75,398098734.75,398098734.75,2011-07-01 00:00:00,July 2011,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,453084219.65,453084219.65,453084219.65,2011-08-01 00:00:00,August 2011,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,418199200.35,418199200.35,418199200.35,2011-09-01 00:00:00,September 2011,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,403218877.25,403218877.25,403218877.25,2011-10-01 00:00:00,October 2011,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,425592966.8,425592966.8,425592966.8,2011-11-01 00:00:00,November 2011,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,364203077.75,364203077.75,364203077.75,2011-12-01 00:00:00,December 2011,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,375998488.45,375998488.45,375998488.45,2012-01-01 00:00:00,January 2012,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,426871688.85,426871688.85,426871688.85,2012-02-01 00:00:00,February 2012,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,466262610.35,466262610.35,466262610.35,2012-03-01 00:00:00,March 2012,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,395869289.3,395869289.3,395869289.3,2012-04-01 00:00:00,April 2012,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,478659676.9,478659676.9,478659676.9,2012-05-01 00:00:00,May 2012,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,431835571.55,431835571.55,431835571.55,2012-06-01 00:00:00,June 2012,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,454067502.15,454067502.15,454067502.15,2012-07-01 00:00:00,July 2012,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,483041822.05,483041822.05,483041822.05,2012-08-01 00:00:00,August 2012,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,423283175.6,423283175.6,423283175.6,2012-09-01 00:00:00,September 2012,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,456502784.4,456502784.4,456502784.4,2012-10-01 00:00:00,October 2012,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,457235985.1,457235985.1,457235985.1,2012-11-01 00:00:00,November 2012,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,373566056.35,373566056.35,373566056.35,2012-12-01 00:00:00,December 2012,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,421212167.25,421212167.25,421212167.25,2013-01-01 00:00:00,January 2013,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,443244387,443244387,443244387,2013-02-01 00:00:00,February 2013,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,478166621.7,478166621.7,478166621.7,2013-03-01 00:00:00,March 2013,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,477906226.4,477906226.4,477906226.4,2013-04-01 00:00:00,April 2013,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,514648878.4,514648878.4,514648878.4,2013-05-01 00:00:00,May 2013,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,447585346.25,447585346.25,447585346.25,2013-06-01 00:00:00,June 2013,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,499034252.6,499034252.6,499034252.6,2013-07-01 00:00:00,July 2013,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,510311081.8,510311081.8,510311081.8,2013-08-01 00:00:00,August 2013,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,477464477.85,477464477.85,477464477.85,2013-09-01 00:00:00,September 2013,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,500145453.25,500145453.25,500145453.25,2013-10-01 00:00:00,October 2013,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,479445216.95,479445216.95,479445216.95,2013-11-01 00:00:00,November 2013,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,417982539.85,417982539.85,417982539.85,2013-12-01 00:00:00,December 2013,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,452082119.2,452082119.2,452082119.2,2014-01-01 00:00:00,January 2014,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,478539801.35,478539801.35,478539801.35,2014-02-01 00:00:00,February 2014,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,542921082.25,542921082.25,542921082.25,2014-03-01 00:00:00,March 2014,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,483926411.45,483926411.45,483926411.45,2014-04-01 00:00:00,April 2014,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,539060242.2,539060242.2,539060242.2,2014-05-01 00:00:00,May 2014,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,496921036.4,496921036.4,496921036.4,2014-06-01 00:00:00,June 2014,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,539974371.45,539974371.45,539974371.45,2014-07-01 00:00:00,July 2014,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,"After 1 July 2014, a freeze on indexation to Schedule fees was introduced (known as the Medicare rebate freeze).",0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,541283974.7,541283974.7,541283974.7,2014-08-01 00:00:00,August 2014,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,543052305.6,543052305.6,543052305.6,2014-09-01 00:00:00,September 2014,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,548129336.7,548129336.7,548129336.7,2014-10-01 00:00:00,October 2014,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,499964208.45,499964208.45,499964208.45,2014-11-01 00:00:00,November 2014,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,469201015.35,469201015.35,469201015.35,2014-12-01 00:00:00,December 2014,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,475108024.25,475108024.25,475108024.25,2015-01-01 00:00:00,January 2015,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,508969902.9,508969902.9,508969902.9,2015-02-01 00:00:00,February 2015,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,569138486.9,569138486.9,569138486.9,2015-03-01 00:00:00,March 2015,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,546700466.4,546700466.4,546700466.4,2015-04-01 00:00:00,April 2015,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
Total benefit,Total,0,568902314.5,568902314.5,568902314.5,2015-05-01 00:00:00,May 2015,0,0,, ,for bulk billed GP attendances (including related incentive items),%null%,0,%null%,0,In Aus,0,Australia,0,0,0,0
